,Content,Processed,Polarity,Subjectivity,Label
37,But it does get better reception and clarity than any phone I've had before.,"['get', 'good', 'reception', 'clarity', 'phone']",0.7,0.6000000000000001,Positive
38,Awsome Device Works Great!!.,"['awsome', 'device', 'works', 'great']",0.8,0.75,Positive
39,Restored my phone to like new performance.,"['restored', 'phone', 'like', 'new', 'performance']",0.13636363636363635,0.45454545454545453,Positive
40,"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.","['would', 'recommend', 'purchasing', 'jabra', 'series', 'works', 'flawlessly', 'moto', 'figure']",1.0,1.0,Positive
41,"I searched the Internet, and found this one to be the best value.","['searched', 'internet', 'found', 'one', 'best', 'value']",1.0,0.3,Positive
42,Very happy with this product.,"['happy', 'product']",0.8,1.0,Positive
43,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.","['screen', 'size', 'big', 'key', 'pad', 'lit', 'well', 'enough', 'camera', 'quality', 'excellent', 'camera', 'phone']",0.25,0.65,Positive
44,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.","['glad', 'found', 'product', 'amazon', 'hard', 'find', 'high', 'priced']",0.12277777777777776,0.6938888888888889,Positive
45,Portable and it works.,"['portable', 'works']",0.0,0.0,Neutral
46,"My colleague & I now get great reception.A little expensive, but performance is great.","['colleague', 'get', 'great', 'little', 'expensive', 'performance', 'great']",0.22812500000000002,0.675,Positive
47,Timely shipment and quality product.,"['timely', 'shipment', 'quality', 'product']",0.0,0.0,Neutral
48,Nice solid keyboard.,"['nice', 'solid', 'keyboard']",0.3,0.55,Positive
49,Very well made and fits my Surefire GX2 perfectly.,"['well', 'made', 'fits', 'surefire', 'perfectly']",1.0,1.0,Positive
50,We would recommend these to others.,"['would', 'recommend', 'others']",0.0,0.0,Neutral
51,The battery works great!,"['battery', 'works', 'great']",0.8,0.75,Positive
52,"Looks great and is strong.""","['looks', 'great', 'strong']",0.6166666666666667,0.7416666666666667,Positive
53,"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.","['tmobile', 'service', 'years', 'pretty', 'happy']",0.525,1.0,Positive
54,Great software for Motorolas.,"['great', 'software', 'motorolas']",0.8,0.75,Positive
55,The delivery was on time.,"['delivery', 'time']",0.0,0.0,Neutral
56,Very easy to use.,"['easy', 'use']",0.43333333333333335,0.8333333333333334,Positive
57,"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.","['holds', 'charge', 'long', 'time', 'reasonably', 'comfortable', 'conditions', 'quality', 'sound', 'tremendous']",0.2708333333333333,0.65,Positive
58,The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,"['keyboard', 'really', 'worthwhile', 'usefulness', 'sturdy', 'enough', 'expect', 'problems']",0.25,0.5,Positive
59,"After charging overnight, these batteries work great.","['charging', 'overnight', 'batteries', 'work', 'great']",0.8,0.75,Positive
60,You won't regret it!,['regret'],0.0,0.0,Neutral
61,I love this phone!.,"['love', 'phone']",0.5,0.6,Positive
62,This PDA rocks.,"['pda', 'rocks']",0.0,0.0,Neutral
63,"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.","['super', 'charged', 'use', 'small', 'hybrid', 'excels', 'roles']",0.04166666666666666,0.5333333333333333,Positive
64,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!","['would', 'definitely', 'recommend', 'jabra', 'looking', 'comfort', 'clarity', 'great', 'price']",0.4,0.625,Positive
65,I had Verizon 2 years ago and really liked their service.,"['verizon', 'years', 'ago', 'really', 'liked', 'service']",0.6,0.8,Positive
66,Works as described.,"['works', 'described']",0.0,0.0,Neutral
67,WELL IM SATISFIED.,"['well', 'satisfied']",0.5,1.0,Positive
68,"The bose noise cancelling is amazing, which is very important for a NYC commuter.","['bose', 'noise', 'cancelling', 'amazing', 'important', 'nyc', 'commuter']",0.5,0.95,Positive
69,This battery is an excellent bargain!,"['battery', 'excellent', 'bargain']",1.0,1.0,Positive
70,I wear glasses and it fits fine with them.,"['wear', 'glasses', 'fits', 'fine']",0.4166666666666667,0.5,Positive
71,great...no problems at all!.,"['great', 'problems']",0.8,0.75,Positive
72,This frog phone charm is adorable and very eye catching.,"['frog', 'phone', 'charm', 'adorable', 'eye', 'catching']",0.55,0.95,Positive
73,The sound is clear and the people I talk to on it are amazed at the quality too.,"['sound', 'clear', 'people', 'talk', 'amazed', 'quality']",0.25,0.39166666666666666,Positive
74,I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,"['got', 'aluminum', 'case', 'new', 'palm', 'worked', 'really', 'well', 'protected', 'handheld', 'perfectly', 'far']",0.14545454545454548,0.5515151515151515,Positive
75,"very good product, well made.","['good', 'product', 'well', 'made']",0.7,0.6000000000000001,Positive
76,Mobile Phone Tools are a must have.,"['mobile', 'phone', 'tools', 'must']",0.0,0.0,Neutral
77,I am very impressed with the job that Motorola did on the sturdiness of this phone.,"['impressed', 'job', 'motorola', 'sturdiness', 'phone']",1.0,1.0,Positive
78,"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.","['received', 'orders', 'well', 'within', 'shipping', 'timeframe', 'everything', 'good', 'working', 'order', 'overall', 'excited', 'source']",0.35833333333333334,0.45,Positive
79,The phone is sturdy and waterproof.,"['phone', 'sturdy', 'waterproof']",0.0,0.0,Neutral
80,Thanks again to Amazon for having the things I need for a good price!,"['thanks', 'amazon', 'things', 'need', 'good', 'price']",0.44999999999999996,0.4,Positive
81,I ended up sliding it on the edge of my pants or back pockets instead.,"['ended', 'sliding', 'edge', 'pants', 'back', 'pockets', 'instead']",0.0,0.0,Neutral
82,I had to go to a store and bought a new NOKIA phone which is working great.,"['store', 'bought', 'new', 'nokia', 'phone', 'working', 'great']",0.4681818181818182,0.6022727272727273,Positive
83,Works great!.,"['works', 'great']",0.8,0.75,Positive
84,The noise shield is incrediable.,"['noise', 'shield', 'incrediable']",0.0,0.0,Neutral
85,Razr Battery - Good buy.,"['razr', 'battery', 'good', 'buy']",0.7,0.6000000000000001,Positive
86,Keep up the good work Amazon!!,"['keep', 'good', 'work', 'amazon']",0.7,0.6000000000000001,Positive
87,Great case and price!,"['great', 'case', 'price']",0.8,0.75,Positive
88,"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.","['bluetooth', 'range', 'good', 'days', 'ago', 'left', 'phone', 'trunk', 'got', 'call', 'carried', 'conversation', 'without', 'hitch']",0.35,0.30000000000000004,Positive
89,"Small, sleek, impressive looking, practical setup with ample storage in place.","['small', 'sleek', 'impressive', 'looking', 'practical', 'setup', 'ample', 'storage', 'place']",0.375,0.7,Positive
90,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,"['eargels', 'channel', 'sound', 'directly', 'ear', 'seem', 'increase', 'sound', 'volume', 'clarity']",0.3,0.4000000000000001,Positive
91,I am glad I purchased it.,"['glad', 'purchased']",0.5,1.0,Positive
92,"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.","['shifting', 'bubbling', 'peeling', 'even', 'scratch', 'nothing', 'could', 'happy', 'new', 'one', 'droid']",0.4681818181818182,0.7272727272727273,Positive
93,"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.","['jabra', 'earset', 'happy', 'sound', 'quality', 'especially', 'outgoing', 'good']",0.47500000000000003,0.75,Positive
94,"I love the camera, it's really pretty good quality.","['love', 'camera', 'really', 'pretty', 'good', 'quality']",0.48333333333333334,0.7333333333333334,Positive
95,Thank you for such great service.,"['thank', 'great', 'service']",0.8,0.75,Positive
96,Its a total package.,"['total', 'package']",0.0,0.75,Neutral
97,"The seller is very understanding and patient, I would definitely buy from them again.","['seller', 'understanding', 'patient', 'would', 'definitely', 'buy']",0.0,0.5,Neutral
98,Great product for the price!.,"['great', 'product', 'price']",0.8,0.75,Positive
99,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use","['purchased', 'family', 'friends', 'enjoy', 'clarity', 'ease', 'use']",0.4,0.5,Positive
100,Virgin Wireless rocks and so does this cheap little phone!,"['virgin', 'wireless', 'rocks', 'cheap', 'little', 'phone']",0.10625000000000001,0.6,Positive
101,"All in all, I'm quite satisfied with this purchase.","['quite', 'satisfied', 'purchase']",0.5,1.0,Positive
102,"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!","['great', 'new', 'packaged', 'nice', 'works', 'good', 'problems', 'came', 'less', 'time', 'expected']",0.3282828282828283,0.5452020202020202,Positive
103,Great Product.,"['great', 'product']",0.8,0.75,Positive
104,This fixes all the problems.,"['fixes', 'problems']",0.0,0.0,Neutral
105,I am very happy,['happy'],0.8,1.0,Positive
106,"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.","['trouble', 'accessing', 'internet', 'downloading', 'ringtones', 'performing', 'functions']",-0.2,0.2,Negative
107,It does everything the description said it would.,"['everything', 'description', 'said', 'would']",0.0,0.0,Neutral
108,"It works great with a car charger, especially if you cannot plug in two adapters at the same time.","['works', 'great', 'car', 'charger', 'especially', 'plug', 'two', 'adapters', 'time']",0.4,0.875,Positive
109,"It plays louder than any other speaker of this size the price is so low that most would think the quality is lacking, however, it's not.","['plays', 'loud', 'speaker', 'size', 'price', 'low', 'would', 'think', 'quality', 'lacking', 'however']",0.05,0.55,Positive
110,Better than expected.,"['good', 'expected']",0.3,0.5,Positive
111,Battery is holding up well.,"['battery', 'holding', 'well']",0.0,0.0,Neutral
112,Linked to my phone without effort.,"['linked', 'phone', 'without', 'effort']",0.0,0.0,Neutral
113,THey are so cool!,['cool'],0.35,0.65,Positive
114,Easy to use.,"['easy', 'use']",0.43333333333333335,0.8333333333333334,Positive
115,Better Than New.,"['good', 'new']",0.41818181818181815,0.5272727272727273,Positive
116,A pretty good product.,"['pretty', 'good', 'product']",0.475,0.8,Positive
117,This is a great phone!.,"['great', 'phone']",0.8,0.75,Positive
118,"For the price on Amazon, it is an excellent product, which I would highly recommend.","['price', 'amazon', 'excellent', 'product', 'would', 'highly', 'recommend']",0.58,0.77,Positive
119,Their Research and Development division obviously knows what they're doing.,"['research', 'development', 'division', 'obviously', 'knows']",0.0,0.5,Neutral
120,Those phones are working just fine now.,"['phones', 'working', 'fine']",0.4166666666666667,0.5,Positive
121,I am more than happy with this product.,"['happy', 'product']",0.8,1.0,Positive
122,"Overall, I would recommend this phone over the new Walkman.","['overall', 'would', 'recommend', 'phone', 'new', 'walkman']",0.06818181818181818,0.22727272727272727,Positive
123,It fits my ear well and is comfortable on.,"['fits', 'ear', 'well', 'comfortable']",0.4,0.8,Positive
124,clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,"['clipping', 'belt', 'deffinitely', 'make', 'feel', 'like', 'cent']",0.0,0.0,Neutral
125,I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,"['like', 'design', 'look', 'jabra', 'behing', 'ear', 'headsets', 'pretty', 'comfortible', 'wear', 'hours', 'day', 'without', 'pain', 'ear']",0.25,1.0,Positive
126,I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,"['amazed', 'quick', 'arrival', 'two', 'original', 'cell', 'phone', 'batteries', 'fraction', 'price']",0.35416666666666663,0.625,Positive
127,Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,"['worked', 'well', 'paired', 'treo', 'skype', 'headset', 'using', 'usb', 'bluetooth', 'transceiver']",0.0,0.0,Neutral
128,This is a great product..... sure beats using your fingers!.,"['great', 'product', 'sure', 'beats', 'using', 'fingers']",0.65,0.8194444444444444,Positive
129,All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,"['cases', 'tried', 'normally', 'fall', 'apart', 'months', 'one', 'seems', 'long', 'haul']",0.049999999999999996,0.5249999999999999,Positive
130,I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,"['recommend', 'igo', 'anyone', 'different', 'brand', 'cell', 'players', 'family']",0.0,0.6,Neutral
131,"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!","['posted', 'detailed', 'comments', 'grey', 'black', 'phone', 'fire', 'red', 'great', 'color']",0.19666666666666668,0.4066666666666666,Positive
132,I did not have any problem with this item and would order it again if needed.,"['problem', 'item', 'would', 'order', 'needed']",0.0,0.0,Neutral
133,"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.","['software', 'great', 'job', 'could', 'also', 'make', 'ringtones', 'form', 'existing', 'cds', 'without', 'internet', 'connection']",0.8,0.75,Positive
134,im surprised this is a good quality car charger and there's not much reviews about it.,"['surprised', 'good', 'quality', 'car', 'charger', 'much', 'reviews']",0.3333333333333333,0.5666666666666667,Positive
135,These are fabulous!,['fabulous'],0.4,1.0,Positive
136,I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,"['used', 'bitpim', 'free', 'program', 'find', 'internet', 'transfer', 'data', 'price', 'cable', 'excellent']",0.7,0.9,Positive
137,Very wind-resistant.,[],0.0,0.0,Neutral
138,"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.","['last', 'forever', 'overly', 'expensive', 'operate', 'sound', 'much', 'good', 'others', 'tried']",0.15,0.44166666666666665,Positive
139,Phone is sturdy as all nokia bar phones are.,"['phone', 'sturdy', 'nokia', 'bar', 'phones']",0.0,0.0,Neutral
140,Great phone.,"['great', 'phone']",0.8,0.75,Positive
141,I'm pleased.,['pleased'],0.5,1.0,Positive
142,I found the product to be easy to set up and use.,"['found', 'product', 'easy', 'set', 'use']",0.43333333333333335,0.8333333333333334,Positive
143,"No ear loop needed, it's tiny and the sound is great.","['ear', 'loop', 'needed', 'tiny', 'sound', 'great']",0.4000000000000001,0.5499999999999999,Positive
144,"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.","['handsfree', 'part', 'works', 'fine', 'car', 'tries', 'download', 'address', 'book', 'treo', 'still', 'rate', 'device', 'high']",0.15888888888888889,0.48,Positive
145,I'm happy about this purchase- good quality and low price.,"['happy', 'good', 'quality', 'low', 'price']",0.5,0.6333333333333334,Positive
146,I love the look and feel of Samsung flipphones.,"['love', 'look', 'feel', 'samsung', 'flipphones']",0.5,0.6,Positive
147,Its well-designed and very sharp -- the blue is a very nice color.,"['sharp', 'blue', 'nice', 'color']",0.15833333333333333,0.6166666666666667,Positive
148,Does everything it should and more.,['everything'],0.0,0.0,Neutral
149,Nice Sound.,"['nice', 'sound']",0.5,0.7,Positive
150,Much less than the jawbone I was going to replace it with.,"['much', 'less', 'jawbone', 'going', 'replace']",-0.16666666666666666,0.06666666666666667,Negative
151,Setup went very smoothly.,"['setup', 'went', 'smoothly']",0.4,0.5,Positive
152,"It is well made, easy to access the phone and has a handy, detachable belt clip.","['well', 'made', 'easy', 'access', 'phone', 'handy', 'detachable', 'belt', 'clip']",0.5166666666666666,0.8666666666666667,Positive
153,"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.","['works', 'fine', 'motorola', 'cellphone', 'lot', 'good', 'battery']",0.5583333333333333,0.55,Positive
154,The volume for the ringer is REAL good (you have choices how loud).,"['volume', 'ringer', 'real', 'good', 'choices', 'loud']",0.55,0.8500000000000001,Positive
155,I love the ringtones because they are so upbeat!,"['love', 'ringtones', 'upbeat']",0.5,0.6,Positive
156,Easy to pair with my Samsung Cell.,"['easy', 'pair', 'samsung', 'cell']",0.43333333333333335,0.8333333333333334,Positive
157,Works well.,"['works', 'well']",0.0,0.0,Neutral
158,Clear crisp sound.,"['clear', 'crisp', 'sound']",0.25,0.4000000000000001,Positive
159,"I have to use the smallest earpieces provided, but it stays on pretty well.","['use', 'small', 'earpieces', 'provided', 'stays', 'pretty', 'well']",0.0,0.7,Neutral
160,The phone can also take great pictures and even video clips.,"['phone', 'also', 'take', 'great', 'pictures', 'even', 'video', 'clips']",0.8,0.75,Positive
161,"Because both ears are occupied, background is not distracting at all.","['ears', 'occupied', 'background', 'distracting']",0.0,0.0,Neutral
162,"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.","['comfortable', 'fit', 'need', 'headset', 'comfortable', 'least', 'hour', 'time', 'entire', 'day']",0.18000000000000002,0.605,Positive
163,You can't beat the price on these.,"['beat', 'price']",0.0,0.0,Neutral
164,"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!","['comes', 'strong', 'light', 'use', 'light', 'camera', 'shots', 'even', 'flash', 'sos', 'signals', 'seriously']",0.22500000000000003,0.6999999999999998,Positive
165,lightweight and works well.,"['lightweight', 'works', 'well']",0.0,0.0,Neutral
166,I love this cable - it allows me to connect any mini-USB device to my PC.,"['love', 'cable', 'allows', 'connect', 'device']",0.5,0.6,Positive
167,This is cool because most cases are just open there allowing the screen to get all scratched up.,"['cool', 'cases', 'open', 'allowing', 'screen', 'get', 'scratched']",0.175,0.575,Positive
168,Appears to actually outperform the original battery from China that came with my V325i.,"['appears', 'actually', 'outperform', 'original', 'battery', 'china', 'came']",0.1875,0.425,Positive
169,"jabra ear gels ""R"" the best!.","['jabra', 'ear', 'gels', 'best']",1.0,0.3,Positive
170,"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.","['quit', 'working', 'used', 'months', 'purchased', 'another', 'one', 'best', 'headset', 'ever', 'owned']",1.0,0.3,Positive
171,It was a great phone.,"['great', 'phone']",0.8,0.75,Positive
172,"Good value, works fine - power via USB, car, or wall outlet.","['good', 'value', 'works', 'fine', 'power', 'via', 'usb', 'car', 'wall', 'outlet']",0.5583333333333333,0.55,Positive
173,My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,"['phone', 'slide', 'around', 'car', 'grip', 'prevents', 'phone', 'slipping', 'hand']",-0.1,0.1,Negative
174,This is simply the BEST bluetooth headset for sound quality!,"['simply', 'best', 'bluetooth', 'headset', 'sound', 'quality']",0.7,0.35,Positive
175,"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?","['span', 'hour', 'two', 'people', 'exclaim', 'whoa', 'new', 'phone']",0.13636363636363635,0.45454545454545453,Positive
176,I have always used corded headsets and the freedom from the wireless is very helpful.,"['always', 'used', 'corded', 'headsets', 'freedom', 'wireless', 'helpful']",0.0,0.0,Neutral
177,"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.","['case', 'passed', 'one', 'year', 'mark', 'shows', 'signs', 'wear', 'functional']",0.0,0.0,Neutral
178,"Other than that, the leather is nice and soft the fit is very tight the cut out for the face is a good shape.","['leather', 'nice', 'soft', 'fit', 'tight', 'cut', 'face', 'good', 'shape']",0.3242857142857143,0.5271428571428571,Positive
179,It has everything I need and I couldn't ask for more.,"['everything', 'need', 'could', 'ask']",0.0,0.0,Neutral
180,This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,"['product', 'great', 'makes', 'working', 'lot', 'easy', 'copier', 'waiting', 'hold', 'something']",0.6166666666666667,0.7916666666666667,Positive
181,T-Mobile has the best customer service anywhere.,"['best', 'customer', 'service', 'anywhere']",1.0,0.3,Positive
182,Arrived quickly and much less expensive than others being sold.,"['arrived', 'quickly', 'much', 'less', 'expensive', 'others', 'sold']",-0.3333333333333333,0.3833333333333333,Negative
183,"Provides good protection and looks classy, too.","['provides', 'good', 'protection', 'looks', 'classy']",0.39999999999999997,0.75,Positive
184,Krussel Always good.,"['krussel', 'always', 'good']",0.7,0.6000000000000001,Positive
185,"The tracfonewebsite is user friendly and makes it easy toactivate, etc.","['tracfonewebsite', 'user', 'friendly', 'makes', 'easy', 'toactivate', 'etc']",0.4041666666666667,0.6666666666666667,Positive
186,The design is very good.4.,['design'],0.0,0.0,Neutral
187,I great reception all the time.,"['great', 'reception', 'time']",0.8,0.75,Positive
188,I would highly recommend this product.,"['would', 'highly', 'recommend', 'product']",0.16,0.5399999999999999,Positive
189,Fantastic buy and will get again for whatever my next phone is,"['fantastic', 'buy', 'get', 'whatever', 'next', 'phone']",0.2,0.45,Positive
190,This BlueAnt Supertooth hands-free phone speaker is AWESOME.,"['blueant', 'supertooth', 'phone', 'speaker', 'awesome']",1.0,1.0,Positive
191,.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,"['item', 'arrived', 'quickly', 'works', 'great', 'metro', 'pcs', 'samsung', 'slider', 'phone', 'sony', 'premium', 'sound', 'ear', 'plugs']",0.5111111111111111,0.5499999999999999,Positive
192,"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.","['light', 'plenty', 'battery', 'capacity', 'confortable', 'wear', 'somewhat', 'extended', 'periods', 'time']",0.4,0.7,Positive
193,Blue Ant is easy to use.,"['blue', 'ant', 'easy', 'use']",0.21666666666666667,0.4666666666666667,Positive
194,Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,"['cheap', 'hey', 'pleasantly', 'suprised', 'given', 'low', 'cost', 'item']",0.37777777777777777,0.6555555555555556,Positive
195,It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,"['convenient', 'simple', 'use', 'gets', 'job', 'done', 'makes', 'car', 'ride', 'much', 'smooth']",0.2,0.4285714285714286,Positive
196,The sound quality is excellent as well.,"['sound', 'quality', 'excellent', 'well']",0.7,0.7,Positive
197,Its the best headset I have used.,"['best', 'headset', 'used']",1.0,0.3,Positive
198,They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,"['around', 'years', 'carries', 'high', 'quality', 'screen', 'protector', 'found', 'date']",0.16,0.5399999999999999,Positive
199,Just what I wanted.,['wanted'],0.0,0.0,Neutral
200,Great product.,"['great', 'product']",0.8,0.75,Positive
201,Crisp and Clear.,"['crisp', 'clear']",0.17500000000000002,0.4,Positive
202,The reception has been generally good.,"['reception', 'generally', 'good']",0.7,0.6000000000000001,Positive
203,"Excellent sound, battery life and inconspicuous to boot!.","['excellent', 'sound', 'battery', 'life', 'inconspicuous', 'boot']",0.7,0.7,Positive
204,Great bluetooth!.,"['great', 'bluetooth']",0.8,0.75,Positive
205,I highly recommend this case.,"['highly', 'recommend', 'case']",0.16,0.5399999999999999,Positive
206,WORTHWHILE.,['worthwhile'],0.5,0.5,Positive
208,It is simple to use and I like it.,"['simple', 'use', 'like']",0.0,0.35714285714285715,Neutral
209,"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!","['great', 'tool', 'entertainment', 'communication', 'data', 'sure', 'use', 'activesync', 'optimal', 'data', 'synchronization', 'results']",0.65,0.8194444444444444,Positive
210,I own 2 of these cases and would order another.,"['cases', 'would', 'order', 'another']",0.0,0.0,Neutral
211,Great Phone.,"['great', 'phone']",0.8,0.75,Positive
212,I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,"['bought', 'battery', 'coupon', 'amazon', 'happy', 'purchase']",0.8,1.0,Positive
213,Perfect for the PS3.,['perfect'],1.0,1.0,Positive
214,"Five star Plus, plus.","['five', 'star', 'plus', 'plus']",0.0,0.0,Neutral
215,A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,"['good', 'quality', 'bought', 'bought', 'cheapy', 'big', 'lots', 'sounded', 'awful', 'people', 'end', 'could', 'hear']",-0.10000000000000002,0.5666666666666668,Negative
216,"Good , works fine.","['good', 'works', 'fine']",0.5583333333333333,0.55,Positive
217,For the price this was a great deal.,"['price', 'great', 'deal']",0.8,0.75,Positive
218,"Great price, too!","['great', 'price']",0.8,0.75,Positive
219,Yes it's shiny on front side - and I love it!,"['yes', 'shiny', 'front', 'side', 'love']",0.5,0.6,Positive
220,The reception through this headset is excellent.,"['reception', 'headset', 'excellent']",1.0,1.0,Positive
221,2 thumbs up to this seller,"['thumbs', 'seller']",0.0,0.0,Neutral
